Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.9858,0.3646,2.1142,0.3199,0.2992,0.3199,0.2532
2,1.00e-03,1.7271,0.4395,1.9999,0.3452,0.4024,0.3452,0.2891
3,1.00e-03,1.6322,0.4644,2.2483,0.3129,0.4354,0.3129,0.2818
4,1.00e-03,1.5746,0.4796,1.8233,0.3856,0.4295,0.3856,0.3482
5,1.00e-03,1.5334,0.4902,1.8368,0.3704,0.4116,0.3704,0.3170
6,1.00e-03,1.5042,0.4978,2.1906,0.3083,0.4854,0.3083,0.2818
7,1.00e-03,1.4831,0.5031,2.3608,0.2616,0.4589,0.2616,0.2231
8,1.00e-03,1.4661,0.5075,2.4087,0.2632,0.3647,0.2632,0.2566
9,5.00e-04,1.4406,0.5145,1.7893,0.3914,0.4637,0.3914,0.3548
10,5.00e-04,1.4340,0.5151,1.8149,0.3914,0.4060,0.3914,0.3519
11,5.00e-04,1.4283,0.5172,1.8289,0.3832,0.4805,0.3832,0.3361
12,5.00e-04,1.4215,0.5181,1.8742,0.3845,0.4666,0.3845,0.3458
13,5.00e-04,1.4179,0.5188,1.7954,0.3990,0.4782,0.3990,0.3581
14,5.00e-04,1.4125,0.5208,1.7620,0.4034,0.4733,0.4034,0.3571
15,5.00e-04,1.4081,0.5218,1.7131,0.4181,0.4700,0.4181,0.3992
16,5.00e-04,1.4068,0.5226,1.8756,0.4030,0.4398,0.4030,0.3524
17,5.00e-04,1.4005,0.5237,1.6675,0.4231,0.4887,0.4231,0.3889
18,5.00e-04,1.3975,0.5243,1.8750,0.3733,0.4941,0.3733,0.3312
19,5.00e-04,1.3967,0.5241,1.7108,0.4288,0.4825,0.4288,0.4153
20,5.00e-04,1.3924,0.5264,1.8964,0.3908,0.4936,0.3908,0.3891
21,5.00e-04,1.3886,0.5273,1.6092,0.4453,0.4888,0.4453,0.4055
22,5.00e-04,1.3864,0.5278,2.6519,0.3580,0.4346,0.3580,0.3066
23,5.00e-04,1.3838,0.5281,1.6409,0.4342,0.4575,0.4342,0.3977
24,2.50e-04,1.3721,0.5314,1.5933,0.4480,0.4776,0.4480,0.4170
25,2.50e-04,1.3713,0.5328,1.6068,0.4421,0.4862,0.4421,0.4076
26,2.50e-04,1.3702,0.5320,1.6466,0.4388,0.4983,0.4388,0.4151
27,2.50e-04,1.3701,0.5322,1.6718,0.4332,0.4876,0.4332,0.4079
28,2.50e-04,1.3672,0.5340,1.5950,0.4412,0.4746,0.4412,0.3989
29,1.25e-04,1.3609,0.5352,1.5507,0.4583,0.4847,0.4583,0.4273
30,1.25e-04,1.3593,0.5352,1.6157,0.4451,0.4968,0.4451,0.4093
