Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.6418,0.4172,1.8717,0.3221,0.3860,0.3221,0.2706
2,1.00e-03,1.4480,0.4859,1.5965,0.4095,0.4546,0.4095,0.3681
3,1.00e-03,1.3907,0.5064,1.5481,0.4237,0.4582,0.4237,0.3814
4,1.00e-03,1.3548,0.5195,1.5737,0.4160,0.4569,0.4160,0.3882
5,1.00e-03,1.3292,0.5284,1.5555,0.4218,0.4817,0.4218,0.3705
6,1.00e-03,1.3117,0.5344,1.5289,0.4302,0.4966,0.4302,0.3968
7,1.00e-03,1.2941,0.5409,1.4746,0.4480,0.4857,0.4480,0.4166
8,1.00e-03,1.2825,0.5453,1.5210,0.4464,0.4977,0.4464,0.4030
9,1.00e-03,1.2730,0.5480,1.4617,0.4658,0.5129,0.4658,0.4310
10,1.00e-03,1.2616,0.5526,1.4648,0.4699,0.4903,0.4699,0.4444
11,1.00e-03,1.2536,0.5543,1.4861,0.4566,0.5123,0.4566,0.4178
12,1.00e-03,1.2431,0.5583,1.4616,0.4634,0.5197,0.4634,0.4335
13,1.00e-03,1.2390,0.5596,1.5104,0.4517,0.5136,0.4517,0.4083
14,1.00e-03,1.2303,0.5617,1.4534,0.4734,0.5149,0.4734,0.4369
15,5.00e-04,1.1967,0.5736,1.3736,0.4974,0.5148,0.4974,0.4746
16,5.00e-04,1.1921,0.5751,1.4103,0.4829,0.5202,0.4829,0.4482
17,5.00e-04,1.1868,0.5777,1.4195,0.4774,0.5325,0.4774,0.4492
18,5.00e-04,1.1836,0.5792,1.3672,0.4956,0.5223,0.4956,0.4691
19,5.00e-04,1.1812,0.5792,1.4666,0.4711,0.5263,0.4711,0.4365
20,2.50e-04,1.1618,0.5869,1.3613,0.4989,0.5350,0.4989,0.4706
21,2.50e-04,1.1558,0.5887,1.3689,0.4972,0.5298,0.4972,0.4701
22,2.50e-04,1.1539,0.5900,1.3644,0.5005,0.5346,0.5005,0.4749
23,2.50e-04,1.1498,0.5911,1.3592,0.5012,0.5272,0.5012,0.4753
24,2.50e-04,1.1473,0.5918,1.3789,0.4914,0.5369,0.4914,0.4578
25,2.50e-04,1.1444,0.5926,1.3520,0.5015,0.5296,0.5015,0.4811
26,2.50e-04,1.1426,0.5937,1.3857,0.4972,0.5328,0.4972,0.4658
27,2.50e-04,1.1407,0.5945,1.3608,0.4999,0.5390,0.4999,0.4767
28,2.50e-04,1.1398,0.5950,1.3830,0.4932,0.5331,0.4932,0.4650
29,2.50e-04,1.1368,0.5962,1.4000,0.4866,0.5283,0.4866,0.4572
30,1.25e-04,1.1241,0.6000,1.3528,0.5039,0.5290,0.5039,0.4810
