Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.7234,0.3639,1.8564,0.3116,0.2774,0.3116,0.2479
2,1.00e-03,1.5281,0.4165,1.7736,0.3204,0.2918,0.3204,0.2761
3,1.00e-03,1.4871,0.4278,1.7222,0.3376,0.2920,0.3376,0.2830
4,1.00e-03,1.4588,0.4368,1.7115,0.3448,0.3161,0.3448,0.3042
5,1.00e-03,1.4402,0.4430,1.6805,0.3458,0.3158,0.3458,0.3062
6,1.00e-03,1.4251,0.4476,1.6763,0.3555,0.3072,0.3555,0.3116
7,1.00e-03,1.4130,0.4522,1.6992,0.3563,0.3127,0.3563,0.2971
8,1.00e-03,1.4034,0.4565,1.7553,0.3263,0.3330,0.3263,0.2581
9,1.00e-03,1.3958,0.4584,1.6630,0.3634,0.3253,0.3634,0.3162
10,1.00e-03,1.3901,0.4609,1.6508,0.3688,0.3336,0.3688,0.3216
11,1.00e-03,1.3832,0.4635,1.6603,0.3617,0.3385,0.3617,0.3226
12,1.00e-03,1.3783,0.4645,1.6260,0.3762,0.3226,0.3762,0.3303
13,1.00e-03,1.3739,0.4679,1.6102,0.3756,0.3393,0.3756,0.3352
14,1.00e-03,1.3673,0.4701,1.6638,0.3684,0.3207,0.3684,0.3117
15,1.00e-03,1.3663,0.4717,1.6733,0.3559,0.3427,0.3559,0.3198
16,1.00e-03,1.3616,0.4722,1.6839,0.3603,0.3557,0.3603,0.3230
17,1.00e-03,1.3563,0.4756,1.6156,0.3807,0.3320,0.3807,0.3376
18,1.00e-03,1.3547,0.4757,1.6053,0.3770,0.3432,0.3770,0.3408
19,1.00e-03,1.3513,0.4768,1.5759,0.3915,0.3300,0.3915,0.3402
20,1.00e-03,1.3484,0.4786,1.6457,0.3788,0.3412,0.3788,0.3392
21,1.00e-03,1.3472,0.4785,1.6084,0.3911,0.3358,0.3911,0.3425
22,1.00e-03,1.3414,0.4811,1.5912,0.3897,0.3406,0.3897,0.3426
23,1.00e-03,1.3408,0.4822,1.6078,0.3833,0.3537,0.3833,0.3440
24,1.00e-03,1.3399,0.4818,1.7781,0.3338,0.3449,0.3338,0.2906
25,1.00e-03,1.3348,0.4832,1.5763,0.3904,0.3499,0.3904,0.3515
26,1.00e-03,1.3352,0.4834,1.5890,0.3894,0.3346,0.3894,0.3424
27,1.00e-03,1.3315,0.4843,1.6351,0.3808,0.3297,0.3808,0.3321
28,1.00e-03,1.3296,0.4861,1.6989,0.3517,0.3437,0.3517,0.2965
29,1.00e-03,1.3266,0.4875,1.5879,0.3867,0.3500,0.3867,0.3413
30,5.00e-04,1.3151,0.4927,1.5694,0.3958,0.3344,0.3958,0.3454
