Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.6740,0.3944,1.7301,0.3375,0.3288,0.3375,0.3097
2,1.00e-03,1.4435,0.4496,1.6614,0.3676,0.3305,0.3676,0.3230
3,1.00e-03,1.3855,0.4678,1.5980,0.3713,0.3582,0.3713,0.3231
4,1.00e-03,1.3537,0.4803,1.5696,0.3898,0.3396,0.3898,0.3368
5,1.00e-03,1.3311,0.4920,1.5425,0.4030,0.3592,0.4030,0.3611
6,1.00e-03,1.3120,0.4985,1.5556,0.4088,0.3639,0.4088,0.3685
7,1.00e-03,1.3009,0.5040,1.5305,0.4118,0.3568,0.4118,0.3637
8,1.00e-03,1.2892,0.5086,1.5210,0.4171,0.3631,0.4171,0.3693
9,1.00e-03,1.2807,0.5119,1.5379,0.4107,0.3622,0.4107,0.3666
10,1.00e-03,1.2724,0.5152,1.4899,0.4223,0.3599,0.4223,0.3726
11,1.00e-03,1.2653,0.5186,1.5005,0.4225,0.3815,0.4225,0.3757
12,1.00e-03,1.2597,0.5204,1.5171,0.4222,0.3660,0.4222,0.3780
13,1.00e-03,1.2509,0.5238,1.4831,0.4328,0.3867,0.4328,0.3862
14,1.00e-03,1.2482,0.5254,1.4741,0.4359,0.4013,0.4359,0.3919
15,1.00e-03,1.2423,0.5271,1.4698,0.4318,0.4051,0.4318,0.3907
16,1.00e-03,1.2386,0.5297,1.4778,0.4332,0.4183,0.4332,0.3908
17,1.00e-03,1.2331,0.5317,1.4898,0.4361,0.4031,0.4361,0.3926
18,1.00e-03,1.2289,0.5328,1.4319,0.4454,0.4581,0.4454,0.4026
19,1.00e-03,1.2253,0.5339,1.5115,0.4320,0.4023,0.4320,0.3892
20,1.00e-03,1.2241,0.5350,1.4569,0.4410,0.4250,0.4410,0.3997
21,1.00e-03,1.2215,0.5366,1.4499,0.4457,0.4509,0.4457,0.4020
22,1.00e-03,1.2176,0.5381,1.4352,0.4415,0.4552,0.4415,0.3978
23,5.00e-04,1.2008,0.5429,1.4473,0.4474,0.4629,0.4474,0.4055
24,5.00e-04,1.1975,0.5452,1.4259,0.4468,0.4800,0.4468,0.4093
25,5.00e-04,1.1978,0.5449,1.4316,0.4530,0.4792,0.4530,0.4132
26,5.00e-04,1.1963,0.5461,1.4410,0.4518,0.4754,0.4518,0.4082
27,5.00e-04,1.1921,0.5474,1.4194,0.4526,0.4828,0.4526,0.4114
28,5.00e-04,1.1908,0.5472,1.4336,0.4535,0.4719,0.4535,0.4112
29,5.00e-04,1.1891,0.5488,1.4435,0.4505,0.4680,0.4505,0.4082
30,2.50e-04,1.1831,0.5507,1.4321,0.4529,0.4729,0.4529,0.4108
