Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.7868,0.3528,1.8840,0.3056,0.2846,0.3056,0.2703
2,1.00e-03,1.5576,0.4107,1.7783,0.3090,0.2857,0.3090,0.2730
3,1.00e-03,1.5187,0.4188,1.8412,0.3198,0.2705,0.3198,0.2717
4,1.00e-03,1.4924,0.4272,1.7525,0.3346,0.2845,0.3346,0.2911
5,1.00e-03,1.4746,0.4324,1.7641,0.3264,0.2928,0.3264,0.2820
6,1.00e-03,1.4588,0.4376,1.8039,0.3110,0.2971,0.3110,0.2349
7,1.00e-03,1.4468,0.4413,1.7070,0.3491,0.3038,0.3491,0.3038
8,1.00e-03,1.4386,0.4436,1.6761,0.3494,0.3087,0.3494,0.3046
9,1.00e-03,1.4296,0.4471,1.6936,0.3523,0.3210,0.3523,0.3120
10,1.00e-03,1.4251,0.4475,1.6975,0.3563,0.3107,0.3563,0.3064
11,1.00e-03,1.4206,0.4496,1.8053,0.3135,0.2973,0.3135,0.2570
12,1.00e-03,1.4142,0.4518,1.7410,0.3470,0.3162,0.3470,0.2869
13,1.00e-03,1.4092,0.4534,1.6697,0.3570,0.3231,0.3570,0.3142
14,1.00e-03,1.4068,0.4546,1.7171,0.3407,0.3321,0.3407,0.3011
15,1.00e-03,1.4031,0.4552,1.6891,0.3583,0.3281,0.3583,0.3192
16,1.00e-03,1.3985,0.4574,1.6863,0.3567,0.3315,0.3567,0.3134
17,1.00e-03,1.3984,0.4578,1.6680,0.3627,0.3174,0.3627,0.3146
18,1.00e-03,1.3936,0.4591,1.7236,0.3405,0.3458,0.3405,0.2990
19,1.00e-03,1.3908,0.4607,1.6467,0.3676,0.3170,0.3676,0.3227
20,1.00e-03,1.3891,0.4607,1.6504,0.3668,0.3237,0.3668,0.3134
21,1.00e-03,1.3852,0.4630,1.6812,0.3443,0.3513,0.3443,0.3044
22,1.00e-03,1.3848,0.4626,1.6217,0.3631,0.3303,0.3631,0.3243
23,1.00e-03,1.3811,0.4642,1.6486,0.3715,0.3207,0.3715,0.3152
24,1.00e-03,1.3796,0.4641,1.6451,0.3481,0.3588,0.3481,0.3102
25,1.00e-03,1.3775,0.4664,1.6411,0.3688,0.3254,0.3688,0.3212
26,1.00e-03,1.3761,0.4672,1.6331,0.3731,0.3334,0.3731,0.3322
27,1.00e-03,1.3755,0.4666,1.6595,0.3691,0.3337,0.3691,0.3302
28,1.00e-03,1.3731,0.4679,1.6138,0.3800,0.3330,0.3800,0.3344
29,1.00e-03,1.3716,0.4673,1.6251,0.3764,0.3337,0.3764,0.3328
30,1.00e-03,1.3710,0.4687,1.6447,0.3642,0.3478,0.3642,0.3304
