Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,2.0095,0.3237,2.1734,0.2488,0.2787,0.2488,0.2035
2,1.00e-03,1.9102,0.3487,2.1834,0.2570,0.2840,0.2570,0.2093
3,1.00e-03,1.8977,0.3524,2.1417,0.2865,0.2810,0.2865,0.2223
4,1.00e-03,1.8919,0.3539,2.1486,0.2645,0.3150,0.2645,0.2155
5,1.00e-03,1.8908,0.3540,2.1470,0.2872,0.3810,0.2872,0.2161
6,1.00e-03,1.8872,0.3548,2.1342,0.2735,0.2951,0.2735,0.2446
7,1.00e-03,1.8895,0.3525,2.1368,0.2709,0.3004,0.2709,0.2300
8,1.00e-03,1.8921,0.3529,2.0770,0.2513,0.2904,0.2513,0.2178
9,1.00e-03,1.8893,0.3538,2.1165,0.2816,0.3188,0.2816,0.2415
10,1.00e-03,1.8902,0.3535,2.1145,0.2760,0.3027,0.2760,0.2183
11,5.00e-04,1.8762,0.3579,2.1084,0.2825,0.2756,0.2825,0.2530
12,5.00e-04,1.8734,0.3582,2.1076,0.2558,0.3317,0.2558,0.1972
13,5.00e-04,1.8726,0.3590,2.1301,0.2669,0.3004,0.2669,0.2210
14,5.00e-04,1.8725,0.3589,2.0730,0.2939,0.2937,0.2939,0.2543
15,5.00e-04,1.8723,0.3597,2.0984,0.2951,0.2817,0.2951,0.2520
16,5.00e-04,1.8725,0.3587,2.0968,0.2890,0.3090,0.2890,0.2569
17,5.00e-04,1.8716,0.3591,2.0916,0.2881,0.2675,0.2881,0.2192
18,5.00e-04,1.8711,0.3595,2.1128,0.2874,0.3069,0.2874,0.2261
19,5.00e-04,1.8717,0.3582,2.1156,0.2930,0.2881,0.2930,0.2507
20,5.00e-04,1.8734,0.3587,2.1139,0.2662,0.3089,0.2662,0.2118
21,2.50e-04,1.8647,0.3616,2.0993,0.2956,0.2976,0.2956,0.2629
22,2.50e-04,1.8653,0.3625,2.0921,0.2679,0.3042,0.2679,0.2199
23,2.50e-04,1.8616,0.3646,2.0906,0.2825,0.2988,0.2825,0.2390
24,2.50e-04,1.8646,0.3634,2.0957,0.2967,0.2829,0.2967,0.2543
25,2.50e-04,1.8618,0.3634,2.0908,0.2912,0.2905,0.2912,0.2592
26,1.25e-04,1.8606,0.3649,2.1047,0.2864,0.2972,0.2864,0.2468
27,1.25e-04,1.8597,0.3657,2.0891,0.2870,0.2888,0.2870,0.2557
28,1.25e-04,1.8599,0.3654,2.1026,0.2912,0.2907,0.2912,0.2607
29,1.25e-04,1.8598,0.3652,2.0890,0.3017,0.2885,0.3017,0.2656
30,1.25e-04,1.8593,0.3653,2.1009,0.2871,0.2921,0.2871,0.2438
