Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.4970,0.4389,1.5984,0.3844,0.3523,0.3844,0.3402
2,1.00e-03,1.3505,0.4820,1.5479,0.4063,0.3584,0.4063,0.3579
3,1.00e-03,1.3082,0.4976,1.5114,0.4199,0.3711,0.4199,0.3749
4,1.00e-03,1.2857,0.5069,1.4867,0.4323,0.3851,0.4323,0.3862
5,1.00e-03,1.2685,0.5151,1.4781,0.4307,0.3912,0.4307,0.3871
6,1.00e-03,1.2541,0.5196,1.4835,0.4340,0.3792,0.4340,0.3858
7,1.00e-03,1.2415,0.5239,1.4615,0.4378,0.4019,0.4378,0.3963
8,1.00e-03,1.2332,0.5277,1.4306,0.4497,0.4196,0.4497,0.4085
9,1.00e-03,1.2242,0.5319,1.4353,0.4469,0.4251,0.4469,0.4082
10,1.00e-03,1.2166,0.5345,1.4263,0.4577,0.4095,0.4577,0.4091
11,1.00e-03,1.2097,0.5378,1.4262,0.4522,0.4229,0.4522,0.4075
12,1.00e-03,1.2037,0.5400,1.4076,0.4565,0.4245,0.4565,0.4167
13,1.00e-03,1.1989,0.5431,1.4145,0.4616,0.4409,0.4616,0.4128
14,1.00e-03,1.1920,0.5457,1.4120,0.4576,0.4524,0.4576,0.4171
15,1.00e-03,1.1879,0.5468,1.4169,0.4576,0.4713,0.4576,0.4151
16,1.00e-03,1.1818,0.5497,1.4235,0.4618,0.4673,0.4618,0.4209
17,1.00e-03,1.1799,0.5506,1.4118,0.4630,0.4887,0.4630,0.4236
18,1.00e-03,1.1748,0.5527,1.4147,0.4640,0.4896,0.4640,0.4181
19,1.00e-03,1.1704,0.5532,1.3865,0.4620,0.4878,0.4620,0.4258
20,1.00e-03,1.1660,0.5554,1.3835,0.4685,0.4894,0.4685,0.4297
21,1.00e-03,1.1613,0.5591,1.4246,0.4646,0.4986,0.4646,0.4202
22,1.00e-03,1.1557,0.5595,1.4037,0.4658,0.5042,0.4658,0.4273
23,1.00e-03,1.1531,0.5615,1.4140,0.4676,0.4961,0.4676,0.4263
24,1.00e-03,1.1513,0.5624,1.4190,0.4679,0.4753,0.4679,0.4243
25,5.00e-04,1.1272,0.5712,1.3909,0.4722,0.5020,0.4722,0.4336
26,5.00e-04,1.1227,0.5736,1.3885,0.4732,0.4970,0.4732,0.4322
27,5.00e-04,1.1174,0.5763,1.3945,0.4683,0.4963,0.4683,0.4292
28,5.00e-04,1.1147,0.5767,1.3941,0.4714,0.5062,0.4714,0.4333
29,5.00e-04,1.1134,0.5779,1.3877,0.4749,0.5023,0.4749,0.4349
30,5.00e-04,1.1105,0.5788,1.3889,0.4755,0.5068,0.4755,0.4382
