Epoch,LR,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1
1,1.00e-03,1.5234,0.4306,1.6372,0.3580,0.3455,0.3580,0.3275
2,1.00e-03,1.3686,0.4745,1.5922,0.3919,0.3512,0.3919,0.3503
3,1.00e-03,1.3341,0.4874,1.5480,0.3982,0.3552,0.3982,0.3524
4,1.00e-03,1.3156,0.4938,1.5065,0.4110,0.3724,0.4110,0.3652
5,1.00e-03,1.2992,0.5000,1.5128,0.4121,0.3691,0.4121,0.3626
6,1.00e-03,1.2876,0.5049,1.5711,0.4033,0.3812,0.4033,0.3607
7,1.00e-03,1.2811,0.5069,1.4950,0.4265,0.4196,0.4265,0.3859
8,1.00e-03,1.2727,0.5097,1.4961,0.4202,0.4043,0.4202,0.3813
9,1.00e-03,1.2661,0.5124,1.4723,0.4291,0.3931,0.4291,0.3864
10,1.00e-03,1.2593,0.5151,1.4727,0.4323,0.4237,0.4323,0.3918
11,1.00e-03,1.2554,0.5169,1.4766,0.4269,0.4261,0.4269,0.3805
12,1.00e-03,1.2516,0.5179,1.4445,0.4359,0.4387,0.4359,0.3952
13,1.00e-03,1.2469,0.5195,1.4607,0.4408,0.4394,0.4408,0.3963
14,1.00e-03,1.2428,0.5208,1.4444,0.4401,0.4364,0.4401,0.3972
15,1.00e-03,1.2384,0.5235,1.4630,0.4318,0.4343,0.4318,0.3901
16,1.00e-03,1.2352,0.5245,1.4601,0.4451,0.4275,0.4451,0.4021
17,1.00e-03,1.2344,0.5243,1.4685,0.4386,0.4250,0.4386,0.3984
18,1.00e-03,1.2302,0.5274,1.4397,0.4511,0.4599,0.4511,0.4078
19,1.00e-03,1.2289,0.5274,1.4670,0.4382,0.4154,0.4382,0.3895
20,1.00e-03,1.2268,0.5283,1.4030,0.4519,0.4686,0.4519,0.4158
21,1.00e-03,1.2252,0.5296,1.4286,0.4519,0.4543,0.4519,0.4086
22,1.00e-03,1.2207,0.5309,1.4412,0.4526,0.4597,0.4526,0.4084
23,1.00e-03,1.2188,0.5311,1.4300,0.4511,0.4669,0.4511,0.4079
24,1.00e-03,1.2193,0.5316,1.4416,0.4516,0.4637,0.4516,0.4104
25,5.00e-04,1.2060,0.5361,1.4097,0.4540,0.4799,0.4540,0.4137
26,5.00e-04,1.2027,0.5375,1.4233,0.4542,0.4689,0.4542,0.4109
27,5.00e-04,1.2030,0.5372,1.4150,0.4550,0.4696,0.4550,0.4135
28,5.00e-04,1.2020,0.5386,1.4210,0.4565,0.4763,0.4565,0.4116
