Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.4511,0.7818,0.4728,0.8075,0.8165,0.8075,0.8086,0.8812,0.0000,0.1613,0.7900,0.8367
2,0.3607,0.8293,0.4701,0.8206,0.8195,0.8206,0.8183,0.8912,0.0000,0.5806,0.8891,0.7092
3,0.3350,0.8438,0.3811,0.8348,0.8354,0.8348,0.8350,0.8736,0.2258,0.4086,0.8649,0.7889
4,0.3150,0.8529,0.3780,0.8338,0.8338,0.8338,0.8304,0.8927,0.2097,0.3011,0.9170,0.7014
5,0.3032,0.8587,0.3607,0.8471,0.8467,0.8471,0.8467,0.9004,0.0806,0.3978,0.8789,0.7979
6,0.2919,0.8649,0.3917,0.8507,0.8507,0.8507,0.8480,0.9356,0.1452,0.3871,0.9214,0.7353
7,0.2822,0.8697,0.3864,0.8543,0.8548,0.8543,0.8543,0.9149,0.0806,0.4516,0.8785,0.8161
8,0.2733,0.8742,0.3938,0.8422,0.8432,0.8422,0.8423,0.9119,0.0645,0.5054,0.8707,0.7955
9,0.2660,0.8773,0.3296,0.8565,0.8571,0.8565,0.8565,0.9563,0.0161,0.6559,0.8816,0.8110
10,0.2586,0.8810,0.3223,0.8611,0.8626,0.8611,0.8610,0.9494,0.4194,0.4946,0.9091,0.7793
