Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.9588,0.5227,1.1449,0.5095,0.5370,0.5095,0.4705,0.0506,0.0443,0.6870,0.5270
2,0.7802,0.5991,1.0872,0.5323,0.5767,0.5323,0.4857,0.0258,0.0210,0.6253,0.6824
3,0.7477,0.6130,1.0446,0.5606,0.5867,0.5606,0.5108,0.0241,0.0241,0.6640,0.7119
4,0.6936,0.6293,1.0094,0.5811,0.6167,0.5811,0.5371,0.1464,0.0210,0.7686,0.6089
5,0.6682,0.6403,0.9619,0.5848,0.6278,0.5848,0.5377,0.1569,0.0013,0.7889,0.5970
6,0.6522,0.6494,0.9582,0.5952,0.6325,0.5952,0.5512,0.1107,0.0494,0.7598,0.6592
7,0.6501,0.6507,1.0507,0.5747,0.6166,0.5747,0.5147,0.0707,0.0010,0.8753,0.4778
8,0.6273,0.6616,0.9006,0.6097,0.6479,0.6097,0.5693,0.1889,0.0633,0.8332,0.5844
9,0.6226,0.6654,0.9564,0.5839,0.6677,0.5839,0.5288,0.1726,0.0532,0.9295,0.3953
10,0.6172,0.6699,0.9246,0.6101,0.6571,0.6101,0.5731,0.3169,0.0489,0.8447,0.5461
11,0.6156,0.6714,0.8867,0.6314,0.6609,0.6314,0.6050,0.3033,0.1530,0.8253,0.6023
12,0.5975,0.6828,0.8944,0.6313,0.6740,0.6313,0.6059,0.3346,0.1690,0.8600,0.5459
13,0.5963,0.6832,0.8513,0.6438,0.6738,0.6438,0.6232,0.3319,0.2189,0.8382,0.5943
14,0.6054,0.6795,0.8492,0.6298,0.6636,0.6298,0.6042,0.2109,0.1956,0.8106,0.6247
15,0.5857,0.6905,0.8712,0.6401,0.6749,0.6401,0.6168,0.3220,0.1817,0.8368,0.5990
16,0.5883,0.6888,0.8255,0.6517,0.6763,0.6517,0.6308,0.3179,0.2057,0.7958,0.6778
17,0.5904,0.6885,0.9113,0.6470,0.6761,0.6470,0.6248,0.3740,0.1852,0.8378,0.6045
18,0.5888,0.6900,0.8454,0.6434,0.6683,0.6434,0.6261,0.3825,0.2075,0.7694,0.6731
19,0.5709,0.6960,0.8818,0.6357,0.6824,0.6357,0.6010,0.1980,0.1586,0.8870,0.5574
20,0.5883,0.6905,0.8321,0.6482,0.6837,0.6482,0.6318,0.5017,0.2027,0.8245,0.5905
21,0.5695,0.6971,0.8811,0.6426,0.6714,0.6426,0.6257,0.4399,0.1870,0.7647,0.6701
22,0.5654,0.6997,0.8300,0.6568,0.6845,0.6568,0.6435,0.5102,0.2268,0.7926,0.6464
23,0.5908,0.6863,0.8456,0.6331,0.6641,0.6331,0.6213,0.4847,0.2131,0.7198,0.6829
24,0.5711,0.6959,0.8352,0.6493,0.6778,0.6493,0.6330,0.4650,0.1961,0.7891,0.6494
25,0.5609,0.6993,0.8530,0.6558,0.6798,0.6558,0.6389,0.3244,0.2369,0.7734,0.7070
26,0.5616,0.6977,0.8309,0.6442,0.6950,0.6442,0.6341,0.4881,0.2184,0.6512,0.7994
27,0.5491,0.7027,0.8308,0.6574,0.6807,0.6574,0.6416,0.3577,0.2412,0.7672,0.7106
28,0.5373,0.7088,0.8142,0.6557,0.6782,0.6557,0.6394,0.3461,0.2366,0.7640,0.7139
29,0.5400,0.7110,0.8214,0.6592,0.6895,0.6592,0.6442,0.3730,0.2275,0.7302,0.7639
30,0.5337,0.7094,0.8356,0.6566,0.6841,0.6566,0.6430,0.4052,0.2359,0.7260,0.7519
31,0.5341,0.7109,0.8061,0.6616,0.6861,0.6616,0.6473,0.3699,0.2493,0.7486,0.7409
32,0.5349,0.7101,0.8073,0.6606,0.6893,0.6606,0.6460,0.3614,0.2409,0.7293,0.7675
33,0.5296,0.7126,0.8280,0.6614,0.6855,0.6614,0.6414,0.3057,0.2412,0.8185,0.6679
34,0.5258,0.7151,0.8319,0.6587,0.6879,0.6587,0.6474,0.4715,0.2417,0.7332,0.7320
35,0.5305,0.7150,0.8155,0.6591,0.6937,0.6591,0.6474,0.4127,0.2437,0.7066,0.7798
36,0.5281,0.7142,0.8171,0.6516,0.6758,0.6516,0.6339,0.3057,0.2409,0.7721,0.7001
37,0.5268,0.7150,0.8245,0.6600,0.6839,0.6600,0.6442,0.3607,0.2402,0.7558,0.7321
38,0.5266,0.7143,0.8278,0.6622,0.6842,0.6622,0.6470,0.3855,0.2493,0.7802,0.6988
39,0.5170,0.7202,0.8222,0.6630,0.6903,0.6630,0.6490,0.3546,0.2610,0.7281,0.7710
40,0.5125,0.7210,0.8122,0.6645,0.6873,0.6645,0.6506,0.3913,0.2536,0.7552,0.7346
41,0.5137,0.7219,0.8325,0.6619,0.6886,0.6619,0.6474,0.4008,0.2349,0.7393,0.7511
42,0.5115,0.7250,0.8331,0.6626,0.6835,0.6626,0.6475,0.3849,0.2508,0.7670,0.7165
43,0.5099,0.7268,0.8370,0.6624,0.6842,0.6624,0.6468,0.3998,0.2503,0.8021,0.6677
44,0.5103,0.7275,0.8177,0.6630,0.6852,0.6630,0.6481,0.4090,0.2549,0.8009,0.6676
45,0.5035,0.7304,0.8265,0.6627,0.6838,0.6627,0.6494,0.4375,0.2625,0.7892,0.6730
46,0.5026,0.7303,0.8265,0.6647,0.6869,0.6647,0.6477,0.3675,0.2534,0.8144,0.6649
47,0.5019,0.7319,0.8281,0.6646,0.6866,0.6646,0.6492,0.4093,0.2589,0.8173,0.6499
48,0.5032,0.7315,0.8336,0.6640,0.6855,0.6640,0.6495,0.4215,0.2627,0.8092,0.6546
