Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7926,0.5933,1.1311,0.5485,0.4819,0.5485,0.4959,0.0061,0.0000,0.6126,0.7550
2,0.7387,0.6225,1.1276,0.5629,0.5115,0.5629,0.4924,0.0180,0.0000,0.8984,0.4272
3,0.7164,0.6327,1.1190,0.5640,0.5356,0.5640,0.4950,0.0863,0.0000,0.9286,0.3763
4,0.6380,0.6449,0.8922,0.6105,0.5532,0.6105,0.5697,0.4440,0.0000,0.8350,0.5456
5,0.5828,0.6627,0.8506,0.6449,0.5763,0.6449,0.6055,0.6046,0.0000,0.8213,0.6237
6,0.5476,0.6804,0.7784,0.6505,0.6957,0.6505,0.6152,0.5537,0.0486,0.8605,0.5859
7,0.5271,0.6948,0.7681,0.6646,0.7005,0.6646,0.6331,0.5377,0.0755,0.8504,0.6341
8,0.5114,0.7041,0.7765,0.6573,0.7112,0.6573,0.6242,0.5734,0.0796,0.8914,0.5516
9,0.5026,0.7106,0.7650,0.6752,0.7204,0.6752,0.6499,0.7065,0.0755,0.7158,0.7976
10,0.4939,0.7155,0.7254,0.6775,0.7159,0.6775,0.6482,0.4110,0.1122,0.8448,0.6948
11,0.4880,0.7204,0.7506,0.6761,0.7060,0.6761,0.6513,0.6630,0.0973,0.7613,0.7455
12,0.4817,0.7238,0.7440,0.6842,0.7258,0.6842,0.6534,0.4949,0.0993,0.8875,0.6439
13,0.4789,0.7249,0.7233,0.6958,0.7314,0.6958,0.6718,0.6151,0.1155,0.7390,0.8345
14,0.4722,0.7289,0.7286,0.6907,0.7312,0.6907,0.6655,0.5910,0.1011,0.7205,0.8537
15,0.4687,0.7311,0.7338,0.6930,0.7316,0.6930,0.6640,0.5992,0.0740,0.7426,0.8381
16,0.4666,0.7326,0.7474,0.6823,0.7148,0.6823,0.6545,0.6158,0.1008,0.8505,0.6583
17,0.4630,0.7342,0.7371,0.6939,0.7280,0.6939,0.6620,0.5129,0.0790,0.8546,0.7155
18,0.4475,0.7429,0.6968,0.7021,0.7272,0.7021,0.6767,0.6236,0.1257,0.8389,0.7192
19,0.4455,0.7437,0.6767,0.7110,0.7347,0.7110,0.6882,0.6352,0.1434,0.7974,0.7894
20,0.4426,0.7462,0.7254,0.6966,0.7288,0.6966,0.6709,0.5628,0.1138,0.7622,0.8194
21,0.4388,0.7478,0.7092,0.7049,0.7301,0.7049,0.6803,0.6369,0.1262,0.8040,0.7687
22,0.4388,0.7477,0.7053,0.6995,0.7284,0.6995,0.6735,0.5431,0.1209,0.8079,0.7713
23,0.4362,0.7490,0.6979,0.7069,0.7310,0.7069,0.6819,0.6685,0.1203,0.8184,0.7505
24,0.4289,0.7540,0.6892,0.7040,0.7316,0.7040,0.6794,0.5496,0.1477,0.8617,0.7054
25,0.4234,0.7559,0.6922,0.7091,0.7381,0.7091,0.6837,0.5343,0.1302,0.8049,0.8012
26,0.4243,0.7565,0.6753,0.7137,0.7384,0.7137,0.6898,0.5717,0.1442,0.8176,0.7851
27,0.4225,0.7575,0.6970,0.7092,0.7379,0.7092,0.6842,0.5442,0.1330,0.8067,0.7962
28,0.4200,0.7584,0.6908,0.7113,0.7364,0.7113,0.6860,0.5870,0.1317,0.8344,0.7573
29,0.4188,0.7592,0.6710,0.7126,0.7388,0.7126,0.6884,0.5340,0.1520,0.8440,0.7544
30,0.4171,0.7605,0.6895,0.7090,0.7328,0.7090,0.6853,0.5754,0.1444,0.8208,0.7671
31,0.4116,0.7633,0.6977,0.7072,0.7326,0.7072,0.6836,0.5564,0.1515,0.8389,0.7410
32,0.4107,0.7631,0.7038,0.7084,0.7334,0.7084,0.6840,0.5808,0.1401,0.8377,0.7439
33,0.4071,0.7664,0.7017,0.7087,0.7333,0.7087,0.6845,0.6332,0.1340,0.8182,0.7596
34,0.4070,0.7662,0.7095,0.7017,0.7290,0.7017,0.6774,0.6097,0.1399,0.8510,0.7017
