Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_pedestrian,Val_Acc_light,Val_Acc_sport,Val_Acc_utility
1,0.7932,0.5869,0.9656,0.5995,0.5858,0.5995,0.5485,0.0014,0.1305,0.8532,0.5520
2,0.6713,0.6693,0.9594,0.6168,0.6103,0.6168,0.5686,0.0061,0.1107,0.7943,0.6810
3,0.6397,0.6817,0.9484,0.6273,0.6702,0.6273,0.5780,0.0166,0.1026,0.7990,0.7044
4,0.6178,0.6877,0.8969,0.6360,0.6698,0.6360,0.5962,0.0778,0.1226,0.7562,0.7636
5,0.5931,0.6954,0.8309,0.6381,0.6479,0.6381,0.6110,0.2069,0.1936,0.8350,0.6183
6,0.5739,0.7013,0.8688,0.6336,0.6615,0.6336,0.5972,0.1583,0.1784,0.8967,0.5422
7,0.5623,0.7053,0.8397,0.6530,0.6713,0.6530,0.6230,0.2075,0.1619,0.8271,0.6795
8,0.5479,0.7120,0.7924,0.6649,0.6833,0.6649,0.6446,0.3003,0.1994,0.7876,0.7311
9,0.5348,0.7175,0.8089,0.6585,0.6856,0.6585,0.6266,0.2011,0.1824,0.8716,0.6333
10,0.5293,0.7191,0.7892,0.6678,0.6850,0.6678,0.6450,0.2976,0.1986,0.8137,0.7067
11,0.5171,0.7255,0.7613,0.6724,0.6939,0.6724,0.6488,0.2218,0.2422,0.8150,0.7219
12,0.5086,0.7295,0.7807,0.6696,0.6874,0.6696,0.6466,0.2952,0.2012,0.8207,0.7028
13,0.4990,0.7331,0.7948,0.6726,0.6893,0.6726,0.6515,0.3594,0.2121,0.8455,0.6616
14,0.4913,0.7368,0.7696,0.6703,0.6997,0.6703,0.6579,0.4942,0.2154,0.7320,0.7689
15,0.4859,0.7399,0.7780,0.6715,0.7009,0.6715,0.6537,0.3757,0.1999,0.7348,0.8001
16,0.4775,0.7441,0.7831,0.6721,0.6909,0.6721,0.6492,0.3536,0.1898,0.8396,0.6758
17,0.4704,0.7475,0.7920,0.6728,0.7015,0.6728,0.6545,0.4260,0.1776,0.7544,0.7742
18,0.4641,0.7501,0.7951,0.6728,0.6985,0.6728,0.6568,0.4671,0.1893,0.7712,0.7399
19,0.4382,0.7625,0.7723,0.6794,0.7049,0.6794,0.6684,0.4915,0.2473,0.7432,0.7712
20,0.4275,0.7678,0.7813,0.6743,0.7018,0.6743,0.6584,0.3988,0.2174,0.7462,0.7829
21,0.4191,0.7723,0.7972,0.6772,0.6953,0.6772,0.6594,0.3889,0.2207,0.7967,0.7277
22,0.4164,0.7736,0.8129,0.6770,0.6990,0.6770,0.6604,0.4467,0.2022,0.7772,0.7446
23,0.4075,0.7776,0.8346,0.6746,0.6929,0.6746,0.6545,0.3981,0.2014,0.8263,0.6863
24,0.3911,0.7872,0.8322,0.6785,0.6984,0.6785,0.6625,0.4521,0.2156,0.7895,0.7278
25,0.3847,0.7903,0.8446,0.6793,0.6968,0.6793,0.6620,0.4263,0.2222,0.8088,0.7090
26,0.3809,0.7918,0.8634,0.6782,0.6954,0.6782,0.6609,0.4287,0.2204,0.8118,0.7022
27,0.3765,0.7926,0.8648,0.6755,0.6958,0.6755,0.6590,0.4358,0.2105,0.7794,0.7376
