Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0290,0.9112,0.0979,0.9619,0.9817,0.9619,0.9683,0.9931,0.9608
2,0.0058,0.9840,0.0419,0.9869,0.9903,0.9869,0.9878,0.9916,0.9867
3,0.0055,0.9839,0.0211,0.9926,0.9937,0.9926,0.9929,0.9854,0.9928
4,0.0032,0.9908,0.0286,0.9902,0.9921,0.9902,0.9907,0.9877,0.9903
5,0.0034,0.9906,0.0140,0.9956,0.9959,0.9956,0.9957,0.9839,0.9960
6,0.0021,0.9947,0.0423,0.9864,0.9902,0.9864,0.9874,0.9977,0.9860
7,0.0023,0.9939,0.0192,0.9947,0.9953,0.9947,0.9949,0.9908,0.9949
8,0.0019,0.9952,0.0081,0.9975,0.9976,0.9975,0.9975,0.9854,0.9979
9,0.0017,0.9959,0.0123,0.9955,0.9960,0.9955,0.9957,0.9946,0.9956
10,0.0016,0.9955,0.0105,0.9971,0.9973,0.9971,0.9971,0.9954,0.9971
11,0.0017,0.9956,0.0134,0.9961,0.9964,0.9961,0.9962,0.9969,0.9960
12,0.0012,0.9969,0.0202,0.9919,0.9934,0.9919,0.9923,0.9985,0.9917
13,0.0007,0.9982,0.0105,0.9969,0.9971,0.9969,0.9970,0.9923,0.9971
14,0.0008,0.9981,0.0105,0.9968,0.9970,0.9968,0.9968,0.9939,0.9969
15,0.0004,0.9989,0.0046,0.9992,0.9992,0.9992,0.9992,0.9923,0.9995
16,0.0005,0.9987,0.0178,0.9961,0.9965,0.9961,0.9962,0.9923,0.9963
17,0.0004,0.9989,0.0043,0.9990,0.9990,0.9990,0.9990,0.9923,0.9992
18,0.0004,0.9992,0.0042,0.9992,0.9992,0.9992,0.9992,0.9923,0.9994
19,0.0006,0.9986,0.0243,0.9949,0.9955,0.9949,0.9950,0.9969,0.9948
20,0.0002,0.9994,0.0052,0.9993,0.9993,0.9993,0.9993,0.9900,0.9996
21,0.0002,0.9995,0.0052,0.9992,0.9992,0.9992,0.9992,0.9885,0.9996
22,0.0002,0.9996,0.0066,0.9991,0.9991,0.9991,0.9991,0.9900,0.9994
23,0.0002,0.9996,0.0067,0.9991,0.9991,0.9991,0.9991,0.9885,0.9995
24,0.0001,0.9997,0.0075,0.9993,0.9993,0.9993,0.9993,0.9870,0.9997
25,0.0001,0.9997,0.0060,0.9993,0.9993,0.9993,0.9993,0.9877,0.9997
26,0.0001,0.9997,0.0066,0.9989,0.9989,0.9989,0.9989,0.9900,0.9992
27,0.0001,0.9998,0.0043,0.9994,0.9994,0.9994,0.9994,0.9931,0.9996
28,0.0001,0.9997,0.0063,0.9992,0.9992,0.9992,0.9992,0.9870,0.9996
29,0.0001,0.9998,0.0057,0.9994,0.9994,0.9994,0.9994,0.9900,0.9997
30,0.0001,0.9998,0.0060,0.9994,0.9994,0.9994,0.9994,0.9908,0.9997
31,0.0001,0.9998,0.0077,0.9989,0.9989,0.9989,0.9989,0.9923,0.9991
32,0.0001,0.9998,0.0063,0.9992,0.9992,0.9992,0.9992,0.9870,0.9997
33,0.0001,0.9999,0.0058,0.9992,0.9992,0.9992,0.9992,0.9908,0.9995
34,0.0001,0.9999,0.0068,0.9993,0.9993,0.9993,0.9993,0.9877,0.9997
35,0.0000,0.9999,0.0068,0.9993,0.9993,0.9993,0.9993,0.9877,0.9998
36,0.0001,0.9999,0.0070,0.9993,0.9993,0.9993,0.9993,0.9870,0.9998
37,0.0001,0.9999,0.0058,0.9993,0.9993,0.9993,0.9993,0.9900,0.9996
38,0.0000,0.9999,0.0066,0.9993,0.9993,0.9993,0.9993,0.9893,0.9996
