Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0530,0.8654,0.7168,0.7798,0.9724,0.7798,0.8512,1.0000,0.7727
2,0.0049,0.9868,0.2823,0.9268,0.9779,0.9268,0.9450,1.0000,0.9244
3,0.0037,0.9903,0.2759,0.9289,0.9781,0.9289,0.9463,1.0000,0.9266
4,0.0025,0.9933,0.1309,0.9722,0.9852,0.9722,0.9763,1.0000,0.9713
5,0.0022,0.9943,0.1389,0.9654,0.9835,0.9654,0.9712,1.0000,0.9642
6,0.0021,0.9945,0.0660,0.9849,0.9898,0.9849,0.9863,1.0000,0.9844
7,0.0016,0.9959,0.0923,0.9833,0.9891,0.9833,0.9849,1.0000,0.9827
8,0.0016,0.9960,0.1102,0.9808,0.9880,0.9808,0.9829,1.0000,0.9801
9,0.0015,0.9961,0.0498,0.9903,0.9925,0.9903,0.9909,0.9985,0.9900
10,0.0013,0.9969,0.0471,0.9906,0.9928,0.9906,0.9912,0.9992,0.9903
11,0.0016,0.9961,0.0689,0.9864,0.9905,0.9864,0.9875,0.9992,0.9860
12,0.0011,0.9974,0.0622,0.9875,0.9910,0.9875,0.9884,1.0000,0.9870
13,0.0010,0.9976,0.0733,0.9855,0.9900,0.9855,0.9868,0.9992,0.9850
14,0.0014,0.9965,0.0724,0.9883,0.9915,0.9883,0.9892,0.9992,0.9880
15,0.0008,0.9981,0.0498,0.9909,0.9929,0.9909,0.9914,0.9985,0.9906
16,0.0007,0.9983,0.0445,0.9914,0.9932,0.9914,0.9919,0.9985,0.9912
17,0.0007,0.9983,0.0461,0.9918,0.9934,0.9918,0.9922,0.9977,0.9916
18,0.0007,0.9983,0.0453,0.9915,0.9933,0.9915,0.9920,0.9977,0.9913
19,0.0006,0.9985,0.0308,0.9947,0.9954,0.9947,0.9949,0.9962,0.9947
20,0.0005,0.9988,0.0285,0.9948,0.9955,0.9948,0.9950,0.9969,0.9948
21,0.0006,0.9988,0.0350,0.9939,0.9949,0.9939,0.9942,0.9985,0.9937
22,0.0006,0.9987,0.0436,0.9927,0.9941,0.9927,0.9931,0.9985,0.9925
23,0.0005,0.9989,0.0358,0.9942,0.9950,0.9942,0.9944,0.9977,0.9940
24,0.0008,0.9982,0.0643,0.9882,0.9913,0.9882,0.9890,0.9985,0.9878
25,0.0005,0.9987,0.0312,0.9946,0.9953,0.9946,0.9948,0.9969,0.9945
26,0.0004,0.9990,0.0285,0.9951,0.9957,0.9951,0.9953,0.9969,0.9951
27,0.0004,0.9991,0.0205,0.9964,0.9967,0.9964,0.9965,0.9946,0.9964
28,0.0004,0.9991,0.0283,0.9950,0.9957,0.9950,0.9952,0.9977,0.9949
29,0.0004,0.9992,0.0240,0.9956,0.9961,0.9956,0.9957,0.9969,0.9955
30,0.0004,0.9992,0.0233,0.9962,0.9966,0.9962,0.9963,0.9969,0.9962
