Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.1529,0.6749,0.3995,0.9087,0.9764,0.9087,0.9334,0.9977,0.9058
2,0.0068,0.9845,0.0552,0.9852,0.9899,0.9852,0.9866,0.9977,0.9848
3,0.0033,0.9927,0.0406,0.9886,0.9915,0.9886,0.9894,0.9962,0.9883
4,0.0020,0.9961,0.0256,0.9937,0.9947,0.9937,0.9940,0.9962,0.9936
5,0.0018,0.9971,0.0184,0.9954,0.9960,0.9954,0.9956,0.9962,0.9954
6,0.0019,0.9958,0.0671,0.9817,0.9884,0.9817,0.9836,1.0000,0.9811
7,0.0016,0.9965,0.0144,0.9963,0.9966,0.9963,0.9964,0.9969,0.9962
8,0.0010,0.9984,0.0112,0.9985,0.9985,0.9985,0.9985,0.9962,0.9985
9,0.0008,0.9987,0.0090,0.9986,0.9986,0.9986,0.9986,0.9962,0.9986
10,0.0010,0.9980,0.0924,0.9776,0.9868,0.9776,0.9804,0.9985,0.9769
11,0.0010,0.9980,0.0087,0.9987,0.9987,0.9987,0.9987,0.9962,0.9987
12,0.0011,0.9975,0.0099,0.9974,0.9976,0.9974,0.9975,0.9969,0.9974
13,0.0005,0.9990,0.0075,0.9988,0.9988,0.9988,0.9988,0.9969,0.9989
14,0.0007,0.9986,0.0123,0.9972,0.9974,0.9972,0.9972,0.9977,0.9971
15,0.0005,0.9990,0.0078,0.9987,0.9988,0.9987,0.9987,0.9977,0.9987
16,0.0010,0.9975,0.0093,0.9983,0.9984,0.9983,0.9983,0.9962,0.9984
17,0.0004,0.9993,0.0090,0.9988,0.9989,0.9988,0.9988,0.9954,0.9989
18,0.0003,0.9995,0.0077,0.9992,0.9992,0.9992,0.9992,0.9954,0.9993
19,0.0003,0.9996,0.0082,0.9989,0.9990,0.9989,0.9989,0.9977,0.9990
20,0.0003,0.9991,0.0072,0.9992,0.9992,0.9992,0.9992,0.9954,0.9993
21,0.0004,0.9993,0.0069,0.9991,0.9991,0.9991,0.9991,0.9969,0.9991
22,0.0003,0.9994,0.0074,0.9991,0.9991,0.9991,0.9991,0.9954,0.9992
23,0.0002,0.9996,0.0073,0.9992,0.9992,0.9992,0.9992,0.9954,0.9993
24,0.0003,0.9994,0.0067,0.9990,0.9990,0.9990,0.9990,0.9962,0.9991
25,0.0002,0.9996,0.0073,0.9992,0.9992,0.9992,0.9992,0.9954,0.9993
26,0.0002,0.9997,0.0088,0.9986,0.9986,0.9986,0.9986,0.9969,0.9986
27,0.0002,0.9996,0.0073,0.9991,0.9991,0.9991,0.9991,0.9954,0.9992
28,0.0002,0.9996,0.0077,0.9992,0.9992,0.9992,0.9992,0.9946,0.9993
