Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0198,0.9391,0.1882,0.9433,0.9784,0.9433,0.9552,0.9962,0.9414
2,0.0055,0.9849,0.0601,0.9797,0.9872,0.9797,0.9819,0.9977,0.9790
3,0.0030,0.9922,0.2436,0.9370,0.9777,0.9370,0.9510,1.0000,0.9347
4,0.0038,0.9903,0.0678,0.9792,0.9870,0.9792,0.9815,0.9992,0.9784
5,0.0023,0.9940,0.0507,0.9856,0.9898,0.9856,0.9868,0.9985,0.9852
6,0.0031,0.9933,0.0707,0.9750,0.9855,0.9750,0.9782,0.9992,0.9741
7,0.0020,0.9947,0.1074,0.9673,0.9832,0.9673,0.9723,1.0000,0.9661
8,0.0016,0.9959,0.0284,0.9917,0.9933,0.9917,0.9921,0.9992,0.9914
9,0.0018,0.9956,0.0397,0.9878,0.9910,0.9878,0.9887,1.0000,0.9874
10,0.0011,0.9970,0.0641,0.9811,0.9878,0.9811,0.9831,1.0000,0.9805
11,0.0015,0.9963,0.0302,0.9897,0.9921,0.9897,0.9904,0.9992,0.9894
12,0.0011,0.9973,0.0604,0.9837,0.9889,0.9837,0.9852,1.0000,0.9831
13,0.0005,0.9986,0.0097,0.9964,0.9967,0.9964,0.9965,0.9992,0.9963
14,0.0007,0.9984,0.0122,0.9957,0.9962,0.9957,0.9958,0.9992,0.9956
15,0.0004,0.9989,0.0053,0.9980,0.9981,0.9980,0.9981,0.9992,0.9980
16,0.0005,0.9987,0.0069,0.9975,0.9977,0.9975,0.9976,0.9985,0.9975
17,0.0006,0.9986,0.0080,0.9969,0.9972,0.9969,0.9970,1.0000,0.9968
18,0.0002,0.9994,0.0056,0.9981,0.9982,0.9981,0.9981,1.0000,0.9980
19,0.0004,0.9992,0.0051,0.9983,0.9983,0.9983,0.9983,0.9977,0.9983
20,0.0004,0.9990,0.0098,0.9968,0.9970,0.9968,0.9968,1.0000,0.9966
21,0.0005,0.9988,0.0136,0.9953,0.9959,0.9953,0.9955,0.9985,0.9952
22,0.0003,0.9993,0.0016,0.9995,0.9995,0.9995,0.9995,0.9985,0.9995
23,0.0004,0.9991,0.0024,0.9991,0.9991,0.9991,0.9991,0.9992,0.9991
24,0.0003,0.9993,0.0055,0.9981,0.9982,0.9981,0.9981,0.9985,0.9981
25,0.0003,0.9993,0.0018,0.9994,0.9994,0.9994,0.9994,1.0000,0.9994
26,0.0003,0.9992,0.0039,0.9986,0.9987,0.9986,0.9986,0.9985,0.9986
27,0.0002,0.9995,0.0055,0.9980,0.9981,0.9980,0.9980,0.9992,0.9980
28,0.0002,0.9995,0.0117,0.9960,0.9964,0.9960,0.9961,1.0000,0.9959
29,0.0002,0.9996,0.0032,0.9988,0.9988,0.9988,0.9988,1.0000,0.9987
30,0.0002,0.9996,0.0023,0.9991,0.9991,0.9991,0.9991,0.9985,0.9991
