Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0399,0.8596,0.4236,0.8371,0.9716,0.8371,0.8868,1.0000,0.8313
2,0.0299,0.9005,0.3293,0.8659,0.9726,0.8659,0.9052,1.0000,0.8612
3,0.0294,0.9013,0.4236,0.8364,0.9716,0.8364,0.8864,1.0000,0.8306
4,0.0295,0.9012,0.4549,0.8264,0.9713,0.8264,0.8800,1.0000,0.8202
5,0.0296,0.9002,0.3547,0.8577,0.9723,0.8577,0.9000,1.0000,0.8526
6,0.0295,0.9014,0.3704,0.8529,0.9721,0.8529,0.8969,1.0000,0.8476
7,0.0292,0.9015,0.3770,0.8510,0.9720,0.8510,0.8957,1.0000,0.8457
8,0.0289,0.9021,0.3587,0.8567,0.9722,0.8567,0.8993,1.0000,0.8515
9,0.0292,0.9013,0.4617,0.8251,0.9712,0.8251,0.8792,1.0000,0.8189
10,0.0292,0.9011,0.3682,0.8531,0.9721,0.8531,0.8971,1.0000,0.8479
