Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0980,0.6424,1.7788,0.3448,0.9662,0.3448,0.4732,0.9900,0.3217
2,0.0614,0.7642,2.8056,0.3464,0.9669,0.3464,0.4750,0.9962,0.3233
3,0.0506,0.8161,1.7868,0.4691,0.9670,0.4691,0.6035,0.9908,0.4505
4,0.0446,0.8403,1.2176,0.5120,0.9675,0.5120,0.6434,0.9954,0.4948
5,0.0410,0.8555,1.1227,0.5944,0.9677,0.5944,0.7139,0.9900,0.5803
6,0.0378,0.8673,1.1812,0.6253,0.9680,0.6253,0.7385,0.9923,0.6122
7,0.0362,0.8763,1.1363,0.6062,0.9682,0.6062,0.7234,0.9969,0.5923
8,0.0335,0.8873,1.0921,0.6690,0.9684,0.6690,0.7718,0.9916,0.6575
9,0.0329,0.8903,0.9280,0.7224,0.9688,0.7224,0.8103,0.9893,0.7129
10,0.0366,0.8774,0.9267,0.7069,0.9685,0.7069,0.7994,0.9862,0.6970
11,0.0315,0.8970,1.0997,0.7007,0.9686,0.7007,0.7950,0.9908,0.6904
12,0.0301,0.9039,0.8418,0.7623,0.9696,0.7623,0.8378,0.9931,0.7541
13,0.0285,0.9100,0.6165,0.8275,0.9705,0.8275,0.8806,0.9831,0.8219
14,0.0280,0.9111,0.6481,0.8400,0.9711,0.8400,0.8886,0.9870,0.8347
15,0.0271,0.9145,0.6657,0.8382,0.9712,0.8382,0.8875,0.9900,0.8328
16,0.0261,0.9187,0.8692,0.7920,0.9700,0.7920,0.8576,0.9908,0.7849
17,0.0258,0.9195,0.7694,0.8271,0.9708,0.8271,0.8804,0.9885,0.8214
18,0.0255,0.9215,1.0081,0.7381,0.9693,0.7381,0.8212,0.9946,0.7289
19,0.0229,0.9299,0.7941,0.8240,0.9708,0.8240,0.8784,0.9908,0.8181
20,0.0225,0.9310,0.8086,0.8069,0.9702,0.8069,0.8673,0.9877,0.8005
21,0.0221,0.9329,0.8424,0.8248,0.9705,0.8248,0.8789,0.9831,0.8192
22,0.0217,0.9345,1.2477,0.7977,0.9701,0.7977,0.8613,0.9908,0.7908
