Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_background,Val_Acc_vehicle
1,0.0609,0.8863,0.0603,0.9816,0.9883,0.9816,0.9836,0.9977,0.9811
2,0.0031,0.9941,0.0173,0.9947,0.9954,0.9947,0.9949,0.9962,0.9947
3,0.0017,0.9960,0.0118,0.9966,0.9969,0.9966,0.9967,0.9985,0.9965
4,0.0007,0.9983,0.0083,0.9982,0.9983,0.9982,0.9982,0.9977,0.9982
5,0.0011,0.9976,0.0242,0.9937,0.9947,0.9937,0.9940,0.9985,0.9935
6,0.0012,0.9973,0.0085,0.9981,0.9982,0.9981,0.9981,0.9969,0.9981
7,0.0005,0.9991,0.0077,0.9985,0.9986,0.9985,0.9985,0.9969,0.9985
8,0.0006,0.9987,0.0067,0.9986,0.9987,0.9986,0.9987,0.9977,0.9987
9,0.0003,0.9994,0.0056,0.9992,0.9992,0.9992,0.9992,0.9977,0.9992
10,0.0004,0.9993,0.0063,0.9988,0.9988,0.9988,0.9988,0.9969,0.9989
11,0.0007,0.9987,0.0266,0.9956,0.9961,0.9956,0.9957,0.9985,0.9955
12,0.0012,0.9973,0.0067,0.9987,0.9988,0.9987,0.9987,0.9962,0.9988
13,0.0005,0.9991,0.0056,0.9987,0.9988,0.9987,0.9988,0.9969,0.9988
14,0.0003,0.9994,0.0056,0.9989,0.9990,0.9989,0.9989,0.9962,0.9990
15,0.0002,0.9996,0.0057,0.9990,0.9990,0.9990,0.9990,0.9962,0.9991
16,0.0004,0.9992,0.0050,0.9991,0.9991,0.9991,0.9991,0.9969,0.9992
17,0.0002,0.9996,0.0053,0.9991,0.9991,0.9991,0.9991,0.9969,0.9992
