Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.2926,0.5031,1.1570,0.5337,0.5550,0.5337,0.5100,0.0023,0.6494,0.0681,0.6191,0.0185,0.6610,0.5317,0.7042,0.6965,0.0630,0.8199,0.3307,0.6018,0.5000
2,1.0678,0.5833,1.0581,0.5684,0.5807,0.5684,0.5593,0.0023,0.7210,0.1659,0.6856,0.0611,0.5951,0.3594,0.7708,0.6510,0.4043,0.8912,0.7206,0.6296,0.8056
3,1.0125,0.6052,1.1460,0.5541,0.5795,0.5541,0.5387,0.0023,0.7679,0.1170,0.4859,0.2580,0.7086,0.5044,0.7177,0.7367,0.0519,0.9563,0.5932,0.5425,0.7028
4,0.9762,0.6181,1.0861,0.5751,0.5914,0.5751,0.5583,0.0016,0.8025,0.1200,0.6391,0.2654,0.6789,0.4826,0.7650,0.6955,0.0599,0.9678,0.5492,0.6223,0.8778
5,0.9540,0.6280,1.0276,0.5957,0.5966,0.5957,0.5867,0.0023,0.7383,0.2602,0.6283,0.2981,0.6323,0.4064,0.7228,0.6946,0.0907,0.9080,0.7133,0.7347,0.8333
6,0.9296,0.6373,1.0695,0.5871,0.6196,0.5871,0.5777,0.0357,0.7877,0.1635,0.5194,0.3198,0.7555,0.5943,0.7631,0.5737,0.0673,0.8774,0.7664,0.8162,0.6694
7,0.9093,0.6446,1.0617,0.5891,0.6170,0.5891,0.5754,0.0062,0.7877,0.1348,0.6306,0.1216,0.7007,0.5562,0.7734,0.6654,0.1302,0.9249,0.4695,0.7678,0.8611
8,0.8933,0.6499,1.0219,0.6064,0.6079,0.6064,0.5948,0.0653,0.8074,0.2040,0.6896,0.0914,0.7475,0.2852,0.7439,0.6932,0.3309,0.8912,0.6361,0.7104,0.7944
9,0.8767,0.6568,1.0651,0.5927,0.6085,0.5927,0.5829,0.0458,0.7432,0.2000,0.6529,0.1630,0.7210,0.5112,0.7670,0.6888,0.0914,0.8812,0.4979,0.7141,0.7972
10,0.8638,0.6605,1.0662,0.5989,0.5881,0.5989,0.5811,0.0645,0.8444,0.1970,0.7129,0.0877,0.7071,0.2110,0.7266,0.7104,0.2463,0.9280,0.6337,0.6855,0.8750
11,0.8531,0.6676,1.0731,0.6024,0.6062,0.6024,0.5850,0.0396,0.8148,0.1995,0.5659,0.2130,0.7142,0.3206,0.7593,0.7475,0.1043,0.9241,0.6759,0.7262,0.8583
