Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.9596,0.2913,1.8674,0.3089,0.2700,0.3089,0.2547,0.0171,0.0025,0.0217,0.3295,0.0000,0.2948,0.2267,0.5634,0.6405,0.0148,0.7808,0.0000,0.1106,0.0000
2,1.6372,0.3983,1.7319,0.3708,0.3702,0.3708,0.3315,0.0000,0.0741,0.1793,0.2527,0.0019,0.4431,0.2049,0.4686,0.7347,0.0000,0.6015,0.0121,0.3130,0.0000
3,1.5231,0.4403,1.6346,0.3907,0.4018,0.3907,0.3635,0.0070,0.2123,0.0375,0.4360,0.1364,0.6298,0.1321,0.6773,0.5425,0.2833,0.8253,0.1774,0.2322,0.0306
4,1.4583,0.4608,1.5373,0.4276,0.4439,0.4276,0.4088,0.0016,0.1728,0.0731,0.4564,0.3531,0.5071,0.2369,0.6172,0.6669,0.1086,0.8115,0.2317,0.3040,0.2028
5,1.3829,0.4800,1.4318,0.4534,0.4658,0.4534,0.4386,0.0016,0.3111,0.1580,0.4224,0.1006,0.5622,0.1123,0.6280,0.6473,0.3938,0.8950,0.3150,0.4178,0.1694
6,1.2867,0.5047,1.3606,0.4718,0.4795,0.4718,0.4592,0.0000,0.4691,0.1338,0.4853,0.3796,0.6208,0.3193,0.5576,0.6023,0.0994,0.9318,0.3555,0.4569,0.1528
7,1.2124,0.5256,1.2580,0.4963,0.5080,0.4963,0.4891,0.0000,0.6642,0.1931,0.6514,0.0383,0.6084,0.4486,0.6408,0.5178,0.4290,0.9341,0.4828,0.4762,0.5111
8,1.1583,0.5420,1.2170,0.5099,0.5311,0.5099,0.5024,0.0000,0.5926,0.1220,0.5805,0.1741,0.6199,0.4302,0.6524,0.6429,0.3630,0.9004,0.4587,0.4485,0.4944
9,1.1137,0.5570,1.1994,0.5129,0.5385,0.5129,0.5058,0.0000,0.5284,0.3007,0.7312,0.0852,0.5306,0.3867,0.6376,0.6411,0.3963,0.9395,0.4176,0.3972,0.5333
10,1.0843,0.5669,1.1697,0.5248,0.5316,0.5248,0.5142,0.0000,0.6222,0.1467,0.6181,0.0963,0.5945,0.3458,0.6914,0.6120,0.3123,0.9387,0.5480,0.5804,0.4389
11,1.0551,0.5766,1.1555,0.5374,0.5269,0.5374,0.5282,0.0000,0.7210,0.2346,0.6745,0.2204,0.6501,0.4030,0.7029,0.5590,0.2037,0.9471,0.6632,0.5510,0.6167
12,1.0355,0.5836,1.2396,0.5134,0.5373,0.5134,0.5039,0.0000,0.5778,0.1728,0.5298,0.0710,0.4664,0.3635,0.6127,0.6819,0.2864,0.9602,0.5335,0.5925,0.4944
