Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.9912,0.3217,1.8019,0.3267,0.3462,0.3267,0.3041,0.1492,0.0123,0.0484,0.2724,0.0043,0.3893,0.1327,0.5083,0.5527,0.1852,0.7425,0.0187,0.2758,0.0000
2,1.5908,0.4088,1.5331,0.4101,0.4388,0.4101,0.3907,0.0948,0.5012,0.0667,0.2777,0.0599,0.5594,0.2948,0.5672,0.6573,0.0340,0.7579,0.1617,0.3827,0.3889
3,1.4306,0.4572,1.4643,0.4384,0.4251,0.4384,0.4147,0.0365,0.6148,0.1319,0.5037,0.0327,0.5964,0.0551,0.5787,0.5543,0.1698,0.7632,0.1937,0.4951,0.5528
4,1.3441,0.4846,1.4057,0.4546,0.4504,0.4546,0.4405,0.1096,0.6889,0.2395,0.4140,0.1833,0.6802,0.1491,0.5627,0.5703,0.0506,0.8866,0.3458,0.4267,0.5722
5,1.2971,0.5002,1.3240,0.4807,0.4812,0.4807,0.4727,0.0350,0.6741,0.1798,0.5152,0.1377,0.5605,0.3254,0.6261,0.4632,0.1235,0.8046,0.5727,0.6767,0.6806
6,1.2697,0.5123,1.3785,0.4715,0.4695,0.4715,0.4510,0.0287,0.6593,0.1284,0.4702,0.0216,0.5891,0.1995,0.5909,0.5631,0.1586,0.8536,0.2595,0.6446,0.6056
7,1.2372,0.5209,1.3643,0.4797,0.4815,0.4797,0.4603,0.0684,0.6543,0.3457,0.4732,0.0463,0.6244,0.0585,0.5666,0.6227,0.0901,0.7425,0.2450,0.5799,0.5778
8,1.2284,0.5267,1.2870,0.4938,0.4898,0.4938,0.4768,0.0070,0.6864,0.1630,0.4250,0.2648,0.5977,0.3009,0.7407,0.5097,0.0426,0.8429,0.4912,0.7218,0.6250
9,1.2091,0.5330,1.2689,0.5044,0.4909,0.5044,0.4897,0.0163,0.7136,0.1556,0.5478,0.1593,0.6246,0.1838,0.6831,0.5671,0.1642,0.8682,0.6626,0.5746,0.6361
10,1.1903,0.5385,1.2801,0.5006,0.4934,0.5006,0.4857,0.0466,0.6667,0.2232,0.5701,0.0679,0.5915,0.1259,0.6536,0.6284,0.1969,0.8230,0.4116,0.5602,0.6000
11,1.1818,0.5405,1.2831,0.5057,0.5088,0.5057,0.4896,0.0389,0.7111,0.2044,0.3961,0.1901,0.6186,0.2287,0.6236,0.6651,0.0383,0.8759,0.3923,0.6449,0.5417
