Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.6966,0.3571,1.4855,0.4004,0.4184,0.4004,0.3711,0.0629,0.3506,0.3595,0.5024,0.0006,0.4699,0.0245,0.7190,0.3432,0.0000,0.9602,0.1986,0.6167,0.0167
2,1.2467,0.4900,1.3727,0.4442,0.5231,0.4442,0.4105,0.0124,0.5852,0.2884,0.2179,0.0031,0.5257,0.3308,0.3566,0.8188,0.0944,0.9877,0.6560,0.2201,0.5500
3,1.1124,0.5375,1.1868,0.5020,0.5214,0.5020,0.4933,0.0062,0.6346,0.4548,0.4169,0.0809,0.6368,0.3873,0.3649,0.5218,0.3148,0.9939,0.7514,0.6120,0.2306
4,1.0612,0.5594,1.1526,0.5187,0.5324,0.5187,0.5125,0.0303,0.6346,0.3546,0.5769,0.2562,0.6546,0.2396,0.3931,0.5942,0.2420,0.9954,0.6282,0.5301,0.3250
5,1.0261,0.5768,1.4054,0.4658,0.5387,0.4658,0.4409,0.0054,0.9457,0.1625,0.5215,0.0012,0.7747,0.1913,0.8726,0.2518,0.0685,0.9985,0.7459,0.6709,0.3722
6,0.9973,0.5881,1.1086,0.5380,0.5534,0.5380,0.5239,0.0373,0.8346,0.3654,0.4456,0.0716,0.7809,0.5058,0.7023,0.4615,0.2074,1.0000,0.7846,0.6802,0.6750
7,0.9753,0.5987,1.1333,0.5263,0.5516,0.5263,0.5106,0.0124,0.7358,0.2736,0.4575,0.0698,0.5457,0.4466,0.3886,0.6818,0.1574,0.9992,0.8352,0.6028,0.4917
8,0.9570,0.6060,1.0749,0.5490,0.5631,0.5490,0.5398,0.0319,0.3975,0.3091,0.4734,0.2235,0.7059,0.2233,0.8182,0.5727,0.3321,0.9962,0.7296,0.6642,0.4389
9,0.9405,0.6141,1.1634,0.5218,0.5490,0.5218,0.5043,0.0443,0.8395,0.2420,0.4025,0.0469,0.5855,0.2274,0.5083,0.5730,0.3821,0.9962,0.7001,0.7684,0.1389
10,0.9284,0.6200,1.1825,0.5011,0.5445,0.5011,0.4907,0.0186,0.9284,0.2711,0.2958,0.1160,0.6772,0.5391,0.5058,0.5792,0.2815,1.0000,0.7532,0.5448,0.3056
11,0.9154,0.6240,1.0226,0.5663,0.5877,0.5663,0.5499,0.0272,0.8617,0.3447,0.5003,0.0167,0.7815,0.4214,0.6082,0.4879,0.4747,1.0000,0.8316,0.7575,0.6500
12,0.9056,0.6298,1.0027,0.5785,0.6027,0.5785,0.5725,0.0490,0.8099,0.4020,0.3874,0.1889,0.7535,0.3996,0.5538,0.6118,0.4481,0.9954,0.8334,0.7265,0.5417
13,0.8957,0.6324,1.0122,0.5737,0.5987,0.5737,0.5644,0.1585,0.8938,0.3042,0.4163,0.0420,0.7486,0.3608,0.6421,0.6438,0.5302,0.9985,0.7115,0.6715,0.5528
14,0.8895,0.6372,1.0915,0.5493,0.5713,0.5493,0.5356,0.0163,0.8741,0.2736,0.4432,0.1617,0.6191,0.4364,0.5602,0.5044,0.2506,0.9985,0.8865,0.8495,0.3917
15,0.8825,0.6392,1.3281,0.4703,0.5189,0.4703,0.4595,0.0606,0.9506,0.1338,0.4706,0.1568,0.7668,0.3615,0.3867,0.3549,0.2012,0.9969,0.8702,0.5662,0.3472
16,0.8777,0.6420,1.0114,0.5738,0.6000,0.5738,0.5727,0.0319,0.6568,0.3496,0.5986,0.2660,0.5791,0.3928,0.5442,0.6868,0.3346,0.9985,0.7809,0.6197,0.5056
