Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.9980,0.2925,1.9116,0.2872,0.3768,0.2872,0.2089,0.0093,0.0000,0.0272,0.4303,0.0407,0.1817,0.0068,0.0000,0.6949,0.1519,0.9885,0.0097,0.0090,0.0000
2,1.8814,0.3139,1.8630,0.2835,0.3737,0.2835,0.2159,0.0497,0.0000,0.0049,0.1912,0.0500,0.6584,0.0109,0.0038,0.5403,0.1333,0.9724,0.0332,0.0294,0.0000
3,1.8513,0.3191,1.8363,0.3189,0.3710,0.3189,0.2903,0.0505,0.0000,0.0681,0.4233,0.1315,0.4870,0.0020,0.0768,0.4647,0.1142,0.9747,0.1249,0.2300,0.0000
4,1.8374,0.3223,1.8207,0.2950,0.4651,0.2950,0.1933,0.0723,0.0000,0.0015,0.1139,0.0574,0.0579,0.0027,0.0339,0.9285,0.1630,0.9785,0.0525,0.0223,0.0000
5,1.8329,0.3211,1.8189,0.3322,0.3777,0.3322,0.3034,0.0979,0.0000,0.2281,0.2813,0.3340,0.5934,0.0020,0.0397,0.3450,0.0648,0.9716,0.0507,0.4406,0.0000
6,1.8269,0.3240,1.8053,0.3261,0.4405,0.3261,0.2619,0.0800,0.0000,0.1328,0.2693,0.0870,0.3174,0.0027,0.1012,0.7959,0.1154,0.9931,0.0833,0.0229,0.0000
7,1.8243,0.3244,1.7962,0.3198,0.4137,0.3198,0.2576,0.1181,0.0000,0.0010,0.2328,0.0012,0.2336,0.0048,0.0487,0.7976,0.2611,0.9693,0.1316,0.0974,0.0000
8,1.8255,0.3239,1.8060,0.3194,0.4167,0.3194,0.2585,0.1181,0.0000,0.0089,0.3864,0.0204,0.4630,0.0020,0.1402,0.6286,0.2543,0.9985,0.1153,0.0205,0.0000
9,1.8230,0.3238,1.8033,0.3184,0.4231,0.3184,0.2528,0.0901,0.0000,0.0341,0.3431,0.0099,0.4245,0.0116,0.0230,0.6885,0.2747,0.9831,0.0531,0.0318,0.0000
10,1.8117,0.3289,1.7962,0.3212,0.4186,0.3212,0.2595,0.0956,0.0000,0.0840,0.3465,0.0642,0.4295,0.0109,0.0198,0.6979,0.0654,0.9923,0.0984,0.0389,0.0000
11,1.8149,0.3288,1.7972,0.3151,0.4260,0.3151,0.2428,0.0979,0.0000,0.0074,0.3764,0.2753,0.1471,0.0082,0.0224,0.7858,0.0340,0.9747,0.0694,0.0532,0.0000
12,1.8156,0.3268,1.8011,0.3033,0.4229,0.3033,0.2192,0.1057,0.0000,0.0296,0.0038,0.0000,0.2292,0.0143,0.0109,0.8629,0.2068,0.9801,0.0658,0.1098,0.0000
13,1.8112,0.3278,1.7993,0.3129,0.4207,0.3129,0.2399,0.0793,0.0000,0.0968,0.3412,0.0469,0.1586,0.0027,0.0198,0.8149,0.0957,0.9648,0.0821,0.0347,0.0000
