Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,2.0566,0.2875,1.9491,0.3033,0.3141,0.3033,0.2466,0.3155,0.0000,0.0217,0.0613,0.0049,0.5430,0.0272,0.4097,0.5579,0.0000,0.7295,0.0000,0.2498,0.0111
2,1.7426,0.3702,1.9248,0.3301,0.3547,0.3301,0.2811,0.2331,0.0000,0.0153,0.1258,0.0000,0.4481,0.0456,0.5064,0.4402,0.0012,0.7303,0.0000,0.5965,0.0444
3,1.6886,0.3826,1.7941,0.3488,0.3291,0.3488,0.3107,0.1119,0.0000,0.0578,0.3741,0.0049,0.2856,0.0980,0.5864,0.6140,0.0000,0.7387,0.0048,0.3624,0.1306
4,1.6531,0.3930,1.8267,0.3439,0.3383,0.3439,0.3081,0.1997,0.0000,0.0242,0.2648,0.0068,0.5532,0.1382,0.5160,0.3095,0.0080,0.7333,0.0344,0.6412,0.2306
5,1.6168,0.4016,1.8422,0.3481,0.3780,0.3481,0.3174,0.1033,0.1951,0.0928,0.4048,0.0012,0.2839,0.0572,0.4225,0.3708,0.0000,0.7885,0.0422,0.6986,0.1222
6,1.5726,0.4144,1.7778,0.3679,0.3617,0.3679,0.3334,0.1267,0.2568,0.0410,0.4515,0.0049,0.3982,0.0347,0.5275,0.3653,0.0000,0.7724,0.0766,0.6734,0.3333
7,1.5388,0.4237,1.6722,0.3920,0.4064,0.3920,0.3614,0.1150,0.3827,0.0395,0.4889,0.0012,0.4912,0.0865,0.5736,0.4956,0.0006,0.7686,0.1919,0.4644,0.5111
8,1.5113,0.4308,1.6327,0.4054,0.3848,0.4054,0.3764,0.0894,0.4025,0.0573,0.3669,0.0000,0.5517,0.1001,0.6018,0.4801,0.0093,0.7977,0.3917,0.5491,0.4000
9,1.4900,0.4385,1.7180,0.3891,0.3821,0.3891,0.3656,0.1150,0.2691,0.1126,0.5863,0.0025,0.5229,0.1668,0.5006,0.4772,0.0056,0.7241,0.2287,0.3587,0.4722
10,1.4704,0.4438,1.6920,0.3868,0.3875,0.3868,0.3612,0.0660,0.4025,0.1244,0.4853,0.0000,0.4421,0.1627,0.4270,0.3009,0.0049,0.8238,0.3953,0.6897,0.4889
11,1.4552,0.4474,1.6795,0.4115,0.4024,0.4115,0.3804,0.0676,0.3481,0.1062,0.3800,0.0056,0.5669,0.1082,0.4731,0.4076,0.0043,0.7839,0.2661,0.7159,0.6278
12,1.4438,0.4521,1.6009,0.4001,0.3944,0.4001,0.3701,0.0676,0.3951,0.1091,0.3696,0.0105,0.6640,0.1736,0.5416,0.3109,0.0136,0.8575,0.3814,0.6434,0.4694
13,1.4308,0.4572,1.5550,0.4297,0.4203,0.4297,0.4043,0.0777,0.5160,0.1240,0.4969,0.0056,0.6300,0.1729,0.5455,0.4132,0.0099,0.7349,0.4852,0.5860,0.5333
14,1.4203,0.4597,1.6367,0.4144,0.4127,0.4144,0.3861,0.0676,0.5975,0.1640,0.3843,0.0198,0.5246,0.1116,0.5115,0.3412,0.0000,0.7793,0.3874,0.7883,0.4639
15,1.4087,0.4630,1.5682,0.4199,0.4260,0.4199,0.3972,0.0839,0.2222,0.1012,0.5998,0.0006,0.4660,0.3016,0.5608,0.4274,0.0136,0.8184,0.4116,0.5318,0.7444
16,1.4030,0.4653,1.6210,0.4214,0.4162,0.4214,0.3990,0.1010,0.3358,0.1136,0.4050,0.0000,0.5299,0.3342,0.4872,0.5965,0.0000,0.8789,0.4074,0.3954,0.5306
17,1.3939,0.4694,1.5396,0.4191,0.4280,0.4191,0.3908,0.0575,0.3926,0.1284,0.5288,0.0210,0.4929,0.1879,0.6063,0.2687,0.0370,0.8054,0.5220,0.7670,0.5222
18,1.3612,0.4803,1.5836,0.4334,0.4257,0.4334,0.4092,0.0396,0.5407,0.1240,0.5570,0.0198,0.5951,0.2988,0.5019,0.3709,0.0049,0.8368,0.3899,0.6309,0.6806
19,1.3549,0.4813,1.6012,0.4291,0.4375,0.4291,0.4042,0.0466,0.4815,0.1328,0.4838,0.0080,0.4816,0.2784,0.4923,0.3563,0.0000,0.7808,0.4206,0.7847,0.6306
20,1.3518,0.4844,1.6030,0.4328,0.4440,0.4328,0.4099,0.0365,0.5309,0.1205,0.4299,0.0080,0.4976,0.2655,0.5013,0.4773,0.0142,0.8743,0.3766,0.6478,0.7139
21,1.3474,0.4847,1.5274,0.4376,0.4481,0.4376,0.4143,0.0396,0.5556,0.1205,0.3673,0.0031,0.5819,0.3696,0.5339,0.4822,0.0068,0.8996,0.3277,0.6312,0.6889
22,1.3405,0.4871,1.6594,0.4254,0.4219,0.4254,0.3989,0.0186,0.5062,0.1106,0.4456,0.0068,0.5173,0.2124,0.5019,0.4469,0.0000,0.9326,0.4581,0.6149,0.6417
23,1.3400,0.4882,1.5657,0.4342,0.4414,0.4342,0.4136,0.0326,0.4469,0.1077,0.4587,0.0469,0.4551,0.2941,0.4910,0.4867,0.0000,0.8943,0.3247,0.6639,0.6861
24,1.3323,0.4908,1.5925,0.4232,0.4225,0.4232,0.3999,0.0280,0.5037,0.1491,0.4256,0.0056,0.4936,0.1620,0.5090,0.5340,0.0123,0.9387,0.4001,0.5128,0.6806
25,1.3307,0.4915,1.6915,0.4214,0.4270,0.4214,0.4020,0.0692,0.5383,0.1640,0.4823,0.0031,0.4502,0.2110,0.4891,0.4808,0.0074,0.9280,0.3060,0.5804,0.6083
26,1.3104,0.4981,1.6897,0.4252,0.4378,0.4252,0.4045,0.0583,0.5531,0.1240,0.5343,0.0086,0.4592,0.2532,0.4699,0.4769,0.0019,0.9218,0.3458,0.5593,0.6694
27,1.3083,0.4975,1.6862,0.4205,0.4240,0.4205,0.3985,0.0194,0.5333,0.1314,0.4906,0.0142,0.4376,0.2042,0.4866,0.5006,0.0074,0.9525,0.3983,0.5364,0.6722
28,1.3045,0.5015,1.6572,0.4374,0.4391,0.4374,0.4125,0.0334,0.5630,0.1195,0.5563,0.0037,0.4921,0.2471,0.4904,0.4936,0.0241,0.8889,0.3573,0.5641,0.7667
29,1.3053,0.4993,1.6947,0.4197,0.4303,0.4197,0.3985,0.0264,0.5432,0.1235,0.5419,0.0302,0.4410,0.2566,0.4635,0.5384,0.0031,0.9241,0.2933,0.4614,0.6472
