Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_Precision,Val_Recall,Val_F1,Val_Acc_bicycle,Val_Acc_polaris,Val_Acc_pickup,Val_Acc_gle350,Val_Acc_scooter,Val_Acc_cx30,Val_Acc_ev,Val_Acc_motorcycle,Val_Acc_mustang,Val_Acc_forester,Val_Acc_background,Val_Acc_walk,Val_Acc_miata,Val_Acc_warhog
1,1.7677,0.3607,1.6174,0.3811,0.3900,0.3811,0.3576,0.0326,0.0642,0.0938,0.4224,0.0228,0.3709,0.1150,0.5333,0.5791,0.1809,0.5847,0.0380,0.4980,0.0000
2,1.4053,0.4530,1.3881,0.4411,0.4321,0.4411,0.4201,0.0342,0.2790,0.2178,0.4341,0.2414,0.6060,0.2369,0.6351,0.4843,0.0099,0.8797,0.0966,0.6165,0.0028
3,1.2485,0.5014,1.2753,0.4807,0.4896,0.4807,0.4690,0.0085,0.5160,0.0968,0.5703,0.1358,0.5767,0.3785,0.6536,0.5506,0.2648,0.8467,0.1798,0.6128,0.0861
4,1.1668,0.5311,1.2416,0.4944,0.5090,0.4944,0.4771,0.0132,0.6025,0.1072,0.5372,0.1179,0.5077,0.1933,0.7029,0.5899,0.3000,0.8935,0.2269,0.7057,0.1806
5,1.1102,0.5514,1.1907,0.5194,0.5164,0.5194,0.5084,0.0132,0.5481,0.2840,0.6957,0.4790,0.5889,0.0681,0.7036,0.5282,0.1414,0.9456,0.6361,0.5628,0.2889
6,1.0677,0.5666,1.1509,0.5323,0.5456,0.5323,0.5188,0.0016,0.6025,0.0958,0.5752,0.0704,0.6877,0.3458,0.6780,0.6683,0.4086,0.9693,0.4870,0.5233,0.3694
7,1.0311,0.5829,1.1200,0.5447,0.5321,0.5447,0.5341,0.0000,0.6864,0.1960,0.6289,0.2327,0.6259,0.1920,0.7190,0.5737,0.2809,0.9295,0.6820,0.6726,0.4500
8,1.0001,0.5938,1.1060,0.5533,0.5444,0.5533,0.5401,0.0000,0.6593,0.4119,0.6408,0.0531,0.5876,0.2457,0.7017,0.6090,0.1802,0.9525,0.6765,0.6865,0.4583
9,0.9786,0.6044,1.0895,0.5581,0.5504,0.5581,0.5459,0.0000,0.6716,0.1995,0.6155,0.0772,0.6781,0.2471,0.7145,0.5959,0.4080,0.9602,0.7073,0.6768,0.4306
10,0.9548,0.6135,1.0942,0.5577,0.5713,0.5577,0.5525,0.0008,0.6346,0.1842,0.5771,0.2617,0.6877,0.2798,0.6633,0.6850,0.3204,0.9042,0.4985,0.6234,0.3944
