Mode,Model,Accuracy,F1-Score,Precision,Recall,MCC,ROC-AUC,Latency_ms,FAR,Timestamp
category,ClassificationCNN,0.7311,0.7229,0.741,0.7311,0.5628,0.921,0.1818,,20260328_082715
category,InceptionTime,0.7337,0.7137,0.7539,0.7337,0.5651,0.9267,0.1855,,20260328_095447
category,BiGRU,0.7166,0.7054,0.7278,0.7166,0.5394,0.9127,0.1857,,20260328_113621
category,ClassificationLSTM,0.7101,0.6965,0.7256,0.7101,0.5292,0.9053,0.1888,,20260328_084408
category,WaveformClassificationCNN,0.6959,0.6878,0.7178,0.6959,0.5149,0.9009,0.1985,,20260328_083519
category,DetectionCNN,0.6823,0.6688,0.6986,0.6823,0.4811,0.893,0.1787,,20260328_081424
category,TCN,0.6506,0.6375,0.683,0.6506,0.4342,0.8632,0.3459,,20260328_101022
category,IterativeMiniRocket,0.53,0.5014,0.4769,0.53,0.2189,0.7609,0.8861,,20260328_090118
detection,ClassificationLSTM,0.9992,0.9992,0.9992,0.9992,0.9903,1.0,0.1716,0.0036,20260328_045503
detection,InceptionTime,0.999,0.999,0.999,0.999,0.9886,1.0,0.2571,0.0,20260328_060730
detection,BiGRU,0.999,0.999,0.999,0.999,0.9885,0.9996,0.1789,0.005410000000000001,20260328_075017
detection,WaveformClassificationCNN,0.9979,0.9979,0.998,0.9979,0.976,0.9985,0.1684,0.007209999999999999,20260328_043655
detection,ClassificationCNN,0.9952,0.9952,0.9952,0.9952,0.9439,0.9979,0.1771,0.042039999999999994,20260328_041650
detection,DetectionCNN,0.9918,0.9919,0.9922,0.9918,0.907,0.996,0.1631,0.05405,20260328_030001
detection,IterativeMiniRocket,0.8657,0.901,0.9666,0.8657,0.4621,0.997,0.874,0.0,20260328_051821
detection,TCN,0.8473,0.8889,0.9653,0.8473,0.433,0.9738,0.3396,0.0048,20260328_063024
instance,InceptionTime,0.6508,0.6495,0.661,0.6508,0.5981,0.9606,0.1767,,20260328_132117
instance,ClassificationCNN,0.6311,0.6282,0.6371,0.6311,0.575,0.9474,0.1775,,20260328_120657
instance,BiGRU,0.6064,0.6062,0.6157,0.6064,0.5472,0.9483,0.2577,,20260328_144055
instance,ClassificationLSTM,0.6093,0.6053,0.615,0.6093,0.5491,0.9499,0.1785,,20260328_122744
instance,WaveformClassificationCNN,0.6001,0.6003,0.6168,0.6001,0.5394,0.9437,0.1788,,20260328_121641
instance,DetectionCNN,0.5652,0.5558,0.5551,0.5652,0.4969,0.9319,0.1699,,20260328_115159
instance,TCN,0.4527,0.4298,0.4609,0.4527,0.3654,0.8998,0.3381,,20260328_134249
instance,IterativeMiniRocket,0.3451,0.3182,0.3758,0.3451,0.2288,0.8532,0.8756,,20260328_124347
